area,membersAccessible,region,pokemon,pokedexNumber,morning,day,night,location,rod,membership,heldItem,tier,levels
Bond Bridge,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Good,,[[Dragon Scale]],2,29-37
Bond Bridge,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,29-37
Bond Bridge,#FF00BF,Sevii Islands,Seadra,117,Morning,Day,Night,Surfing,Super,,[[Dragon Scale]],5,29-37
Bond Bridge,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,29-37
Bond Bridge,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,[[Poison Barb]],1,29-37
Bond Bridge,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,Good,,[[Poison Barb]],3,29-37
Bond Bridge,#FF00BF,Sevii Islands,Magikarp,129,Morning,,Night,Fishing,Old,,,2,29-37
Cape Brink,#FF00BF,Sevii Islands,Shellder,90,Morning,,,Fishing,Super,,,7,30-37
Cape Brink,#FF00BF,Sevii Islands,Staryu,120,,,Night,Fishing,Super,,,6,10-17
Cape Brink,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Fishing,Super,,,5,30-37
Cape Brink,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,30-37
Cape Brink,#FF00BF,Sevii Islands,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,30-37
Cape Brink,#FF00BF,Sevii Islands,Golduck,55,Morning,Day,Night,Surfing,Good,,,3,30-37
Cape Brink,#FF00BF,Sevii Islands,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,30-37
Cape Brink,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,30-37
Cape Brink,#FF00BF,Sevii Islands,Slowbro,80,Morning,Day,Night,Surfing,Good,,[[King's Rock]],5,30-37
Celadon City,,Kanto,Muk,89,Morning,Day,Night,Surfing,,,,3,15-33
Celadon City,,Kanto,Koffing,109,Morning,Day,Night,Surfing,,,[[Smoke Ball]],1,15-22
Celadon City,,Kanto,Grimer,88,Morning,Day,Night,Surfing,Super,,[[Smoke Ball]],1,15-33
Celadon City,,Kanto,Poliwag,60,,,Night,Fishing,Old,,,1,10-15
Celadon City,,Kanto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,10-15
Celadon City,,Kanto,Slowpoke,79,Morning,Day,Night,Fishing,Super,,,2,10-15
Celadon City,,Kanto,Goldeen,118,Morning,Day,Night,Fishing,Super,,,1,10-15
Cerulean Cave 1F,,Kanto,Golduck,55,Morning,Day,Night,Surfing,,,,3,60-64
Cerulean Cave 1F,,Kanto,Slowbro,80,Morning,Day,Night,Surfing,,,,2,60-64
Cerulean Cave 1F,,Kanto,Psyduck,54,Morning,Day,Night,Surfing,Super,,,1,60-64
Cerulean Cave 1F,,Kanto,Slowpoke,79,Morning,Day,Night,Surfing,Super,,,2,60-64
Cerulean Cave 1F,,Kanto,Poliwag,60,Morning,Day,Night,Fishing,Good,,,1,60-64
Cerulean Cave 1F,,Kanto,Goldeen,118,Morning,Day,Night,Fishing,Good,,,1,60-64
Cerulean Cave 1F,,Kanto,Poliwhirl,61,Morning,Day,Night,Fishing,Super,,,3,60-64
Cerulean Cave 1F,,Kanto,Kingler,99,Morning,Day,Night,Fishing,Super,,,2,60-64
Cerulean Cave 1F,,Kanto,Seadra,117,Morning,Day,Night,Fishing,Super,,,3,60-64
Cerulean Cave 1F,,Kanto,Seaking,119,Morning,Day,Night,Fishing,Super,,,3,60-64
Cerulean Cave 1F,,Kanto,Gyarados,130,Morning,Day,Night,Fishing,Super,,,2,60-64
Cerulean Cave B1F,,Kanto,Golduck,55,Morning,Day,Night,Surfing,,,,3,58-62
Cerulean Cave B1F,,Kanto,Slowbro,80,Morning,Day,Night,Surfing,,,,3,55-61
Cerulean Cave B1F,,Kanto,Psyduck,54,Morning,Day,Night,Surfing,Super,,,1,55-59
Cerulean Cave B1F,,Kanto,Slowpoke,79,Morning,Day,Night,Surfing,Super,,,2,55-61
Cerulean Cave B1F,,Kanto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,5-15
Cerulean Cave B1F,,Kanto,Poliwag,60,Morning,Day,Night,Fishing,Good,,,1,55-57
Cerulean Cave B1F,,Kanto,Goldeen,118,Morning,Day,Night,Fishing,Good,,,1,55-61
Cerulean Cave B1F,,Kanto,Poliwhirl,61,Morning,Day,Night,Fishing,Super,,,3,58-62
Cerulean Cave B1F,,Kanto,Kingler,99,Morning,Day,Night,Fishing,Super,,,2,55-62
Cerulean Cave B1F,,Kanto,Seadra,117,Morning,Day,Night,Fishing,Super,,,4,58-62
Cerulean Cave B1F,,Kanto,Seaking,119,Morning,Day,Night,Fishing,Super,,,3,58-62
Cerulean Cave B1F,,Kanto,Gyarados,130,Morning,Day,Night,Fishing,Super,,,3,58-62
Cerulean City,,Kanto,Wooper,194,Morning,Day,Night,Surfing,,,,1,8-12
Cerulean City,,Kanto,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,11-15
Cerulean City,,Kanto,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,11-15
Cerulean City,,Kanto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,11-15
Cherrygrove City,,Johto,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,10-14
Cherrygrove City,,Johto,Corsola,222,Morning,Day,,Surfing,Good,,,4,10-14
Cherrygrove City,,Johto,Tentacruel,73,Morning,Day,Night,Surfing,Super,,,3,10-14
Cherrygrove City,,Johto,Wailmer,320,Morning,Day,Night,Surfing,Super,#FF00BF,,6,10-14
Cherrygrove City,,Johto,Staryu,120,,,Night,Fishing,Super,,,6,10-14
Chrono Cross,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,15-25
Chrono Cross,#FF00BF,Sevii Islands,Hoppip,187,Morning,Day,,Surfing,Good,,,1,5-25
Chrono Cross,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Good,,[[Dragon Scale]],2,5-25
Chrono Cross,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,5-25
Chrono Cross,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,5-25
Chrono Cross,#FF00BF,Sevii Islands,Mantyke,458,Morning,,,Fishing,Super,,,7,5-25
Chrono Cross,#FF00BF,Sevii Islands,Seadra,117,Morning,Day,Night,Surfing,Super,,[[Dragon Scale]],4,15-25
Chrono Cross,#FF00BF,Sevii Islands,Shellder,90,Morning,Day,,Fishing,Super,,[[Pearl]],7,5-25
Chrono Cross,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,5-25
Cianwood City,,Johto,Tentacool,72,Morning,Day,Night,Surfing,,,,1,20-26
Cianwood City,,Johto,Tentacruel,73,Morning,Day,Night,Surfing,,,,3,20-26
Cianwood City,,Johto,Shuckle,213,Morning,Day,Night,Surfing,,#FF00BF,,7,20-26
Cianwood City,,Johto,Krabby,98,Morning,Day,Night,Surfing,,,,1,20-26
Cianwood City,,Johto,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,20-26
Cianwood City,,Johto,Kingler,99,Morning,Day,Night,Fishing,Super,,,3,20-26
Cianwood City,,Johto,Corsola,222,Morning,Day,Night,Fishing,Super,,,4,20-26
Cianwood City,,Johto,Staryu,120,,,Night,Fishing,Super,,[[Stardust]],6,20-26
Cinnabar Island,,Kanto,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,15-22
Cinnabar Island,,Kanto,Krabby,98,Morning,Day,Night,Surfing,Good,,,1,10-17
Cinnabar Island,,Kanto,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,10-22
Cinnabar Island,,Kanto,Corsola,222,Morning,Day,,Surfing,Good,,,4,10-17
Cinnabar Island,,Kanto,Magikarp,129,,,Night,Fishing,Old,,,2,15-22
Cinnabar Island,,Kanto,Staryu,120,,,Night,Fishing,Super,,,6,10-17
Cliff Edge Gate,,Johto,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,28-32
Cliff Edge Gate,,Johto,Horsea,116,Morning,Day,Night,Surfing,Good,,,6,28-32
Cliff Edge Gate,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,28-32
Cliff Edge Gate,,Johto,Poliwag,60,Morning,,Night,Fishing,Good,,,1,28-32
Dark Cave North,,Johto,Krabby,98,Morning,Day,Night,Surfing,Good,,,1,25-29
Dark Cave North,,Johto,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,25-29
Dark Cave North,,Johto,Seaking,119,Morning,Day,Night,Surfing,Super,,,3,25-29
Dark Cave North,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,25-29
Dark Cave South,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,3-7
Desert Lagoon,#FF00BF,Johto,Totodile,158,,Day,,Surfing,Super,,,8,18-22
Desert Lagoon,#FF00BF,Johto,Hippopotas,449,,,Night,Surfing,,,,8,10-14
Desert Lagoon,#FF00BF,Johto,Poliwag,60,,,Night,Surfing,Good,,,1,12-18
Desert Lagoon,#FF00BF,Johto,Azurill,298,Morning,Day,Night,Surfing,Super,,,5,12-18
Desert Lagoon,#FF00BF,Johto,Lotad,270,Morning,Day,Night,Surfing,Super,,,5,12-18
Desert Lagoon,#FF00BF,Johto,Surskit,283,Morning,Day,Night,Surfing,Super,,,5,12-18
Desert Lagoon,#FF00BF,Johto,Wooper,194,Morning,Day,Night,Surfing,Old,,,1,12-18
Dewford Town,,Hoenn,Wingull,278,Morning,Day,Night,Surfing,,,,2,20-35
Dewford Town,,Hoenn,Pelipper,279,Morning,Day,Night,Surfing,,,,5,20-35
Dewford Town,,Hoenn,Wailmer,320,Morning,Day,Night,Surfing,,,,6,20-35
Dewford Town,,Hoenn,Skrelp,690,Morning,Day,Night,Surfing,,,,7,20-35
Dewford Town,,Hoenn,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,20-35
Dewford Town,,Hoenn,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,20-35
Dewford Town,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,20-35
Diamond Domain B1F,,Kanto,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,22-26
Diamond Domain B1F,,Kanto,Psyduck,54,Morning,Day,Night,Surfing,Good,,,1,21-25
Diamond Domain B1F,,Kanto,Seel,86,Morning,Day,Night,Surfing,Old,,,1,22-26
Diamond Domain B1F,,Kanto,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,22-26
Diamond Domain B1F,,Kanto,Clamperl,366,Morning,Day,Night,Fishing,Super,,[[Deep Sea Scale]]; [[Deep Sea Tooth]],6,22-26
Diamond Domain B1F,,Kanto,Shellder,90,Morning,Day,Night,Fishing,Super,,[[Pearl]],7,22-26
Diamond Domain B1F,,Kanto,Staryu,120,Morning,Day,Night,Fishing,Super,,[[Star Piece]],6,22-26
Diamond Domain 1F,,Kanto,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,22-26
Diamond Domain 1F,,Kanto,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,22-26
Diamond Domain 1F,,Kanto,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,22-26
Diamond Domain Main Cave,,Kanto,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,22-26
Diamond Domain Main Cave,,Kanto,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,22-26
Diamond Domain Main Cave,,Kanto,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,22-26
Diamond Domain Main Cave,,Kanto,Clamperl,366,Morning,Day,Night,Fishing,Good,,[[Deep Sea Scale]]; [[Deep Sea Tooth]],8,22-26
Diamond Domain Main Cave,,Kanto,Shellder,90,Morning,Day,Night,Fishing,Super,,[[Pearl]],8,22-26
Diamond Domain Main Cave,,Kanto,Staryu,120,Morning,Day,Night,Fishing,Super,,[[Star Piece]],6,22-26
Dock Island,#FF00BF,Johto,Quagsire,195,,,Night,Surfing,,,,4,10-14
Dock Island,#FF00BF,Johto,Wooper,194,Morning,,Night,Surfing,,,,2,10-14
Dock Island,#FF00BF,Johto,Goldeen,118,Morning,Day,Night,Surfing,,,,1,10-14
Dock Island,#FF00BF,Johto,Krabby,98,Morning,Day,Night,Surfing,,,,1,10-14
Dock Island,#FF00BF,Johto,Lotad,270,Morning,Day,Night,Surfing,,,,5,10-14
Dock Island,#FF00BF,Johto,Psyduck,54,Morning,Day,Night,Surfing,,,,1,10-14
Dock Island,#FF00BF,Johto,Surskit,283,Morning,Day,Night,Surfing,,,,5,10-14
Dragons Den,,Johto,Golbat,42,Morning,Day,Night,Surfing,,,,1,48-52
Dragons Den,,Johto,Dragonair,148,Morning,Day,Night,Surfing,,,,7,20-24
Dragons Den,,Johto,Corphish,341,Morning,Day,Night,Surfing,,,,7,45-49
Dragons Den,,Johto,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,48-52
Dragons Den,,Johto,Horsea,116,Morning,Day,Night,Surfing,Old,,,2,45-49
Dragons Den,,Johto,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,20-44
Dragons Den,,Johto,Psyduck,54,Morning,Day,Night,Surfing,Good,,,1,45-49
Dragons Den,,Johto,Slowbro,80,Morning,Day,Night,Surfing,Good,,,4,50-54
Dragons Den,,Johto,Golduck,55,Morning,Day,Night,Surfing,Super,,,2,48-52
Dragons Den,,Johto,Kingler,99,Morning,Day,Night,Surfing,Super,,,2,48-52
Dragons Den,,Johto,Seadra,117,Morning,Day,Night,Surfing,Super,,,4,48-52
Dragons Den,,Johto,Gyarados,130,Morning,Day,Night,Surfing,Super,,,4,50-54
Dragons Den,,Johto,Kingdra,230,Morning,Day,Night,Surfing,Super,,,5,50-54
Dragons Den,,Johto,Dratini,147,Morning,Day,Night,Fishing,Super,,,7,15-19
Dragons Shrine,,Johto,Slowbro,80,Morning,Day,Night,Surfing,,,,5,60-64
Dragons Shrine,,Johto,Seel,86,Morning,Day,Night,Surfing,,,,1,60-64
Dragons Shrine,,Johto,Dewgong,87,Morning,Day,Night,Surfing,,,,2,60-64
Dragons Shrine,,Johto,Krabby,98,Morning,Day,Night,Surfing,,,,1,60-64
Dragons Shrine,,Johto,Kingler,99,Morning,Day,Night,Surfing,,,,1,60-64
Dragons Shrine,,Johto,Horsea,116,Morning,Day,Night,Surfing,,,,2,60-64
Dragons Shrine,,Johto,Seadra,117,Morning,Day,Night,Surfing,,,,5,60-64
Dragons Shrine,,Johto,Lapras,131,Morning,Day,Night,Surfing,,,,8,60-64
Dragons Shrine,,Johto,Skrelp,690,Morning,Day,Night,Surfing,,,,8,60-64
Ecruteak City,,Johto,Poliwag,60,Morning,Day,Night,Surfing,Old,,[[King's Rock]],1,15-25
Ecruteak City,,Johto,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,15-25
Ecruteak City,,Johto,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,15-25
Ecruteak City,,Johto,Poliwhirl,61,Morning,Day,Night,Surfing,Super,,[[King's Rock]],4,15-25
Eterna City,,Sinnoh,Buizel,418,Morning,Day,Night,Surfing,,#FF00BF,,6,20-30
Eterna City,,Sinnoh,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,20-30
Eterna City,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,20-30
Eterna City,,Sinnoh,Golduck,55,Morning,Day,Night,Surfing,Super,,,3,20-30
Eterna City,,Sinnoh,Gyarados,130,Morning,Day,Night,Surfing,Super,,,4,20-30
Eterna City,,Sinnoh,Barboach,339,Morning,Day,Night,Surfing,Super,,,5,20-30
Eterna City,,Sinnoh,Whiscash,340,Morning,Day,Night,Surfing,Super,,,7,20-30
Ever Grande City,,Hoenn,Tentacruel,73,Morning,Day,Night,Surfing,Old,,,3,29-34
Ever Grande City,,Hoenn,Luvdisc,370,Morning,Day,Night,Surfing,Super,,,5,25-30
Ever Grande City,,Hoenn,Tentacool,72,Morning,Day,Night,Fishing,Old,,,1,24-29
Ever Grande City,,Hoenn,Corsola,222,Morning,Day,Night,Fishing,Old,,,3,25-30
Ever Grande City,,Hoenn,Magikarp,129,Morning,Day,Night,Fishing,Old,#FF00BF,,2,20-25
Ever Grande City,,Hoenn,Wailmer,320,Morning,Day,Night,Fishing,Good,,,6,28-33
Five Island,#FF00BF,Sevii Islands,Staryu,120,,,Night,Fishing,Super,,[[Star Piece]],6,16-20
Five Island,#FF00BF,Sevii Islands,Hoppip,187,Morning,Day,,Surfing,Old,,,1,15-19
Five Island,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Good,,[[Dragon Scale]],2,16-20
Five Island,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,15-19
Five Island,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,16-20
Five Island,#FF00BF,Sevii Islands,Psyduck,54,Morning,Day,Night,Surfing,Good,,,2,16-20
Five Island,#FF00BF,Sevii Islands,Shellder,90,Morning,Day,Night,Surfing,,,[[Pearl]],6,16-20
Five Island,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Good,,,2,16-20
Five Island,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,[[Poison Barb]],1,16-20
Five Island,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,Super,,[[Poison Barb]],2,33-37
Five Isle Meadow,#FF00BF,Sevii Islands,Hoppip,187,,Day,,Surfing,Good,,,1,15-19
Five Isle Meadow,#FF00BF,Sevii Islands,Tentacruel,73,,Day,,Surfing,Super,,,3,33-37
Five Isle Meadow,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Good,,,2,16-20
Five Isle Meadow,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,16-20
Five Isle Meadow,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,15-19
Five Isle Meadow,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,16-20
Four Island,#FF00BF,Sevii Islands,Surskit,283,,Day,,Surfing,Super,,,5,5-35
Four Island,#FF00BF,Sevii Islands,Poliwag,60,,,Night,Surfing,Good,,[[King's Rock]],1,5-35
Four Island,#FF00BF,Sevii Islands,Chinchou,170,Morning,Day,Night,Fishing,Good,,[[Deep Sea Scale]],1,5-35
Four Island,#FF00BF,Sevii Islands,Corsola,222,Morning,Day,,Surfing,Good,,[[Hard Stone]],4,5-35
Four Island,#FF00BF,Sevii Islands,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,5-35
Four Island,#FF00BF,Sevii Islands,Golduck,55,Morning,Day,Night,Surfing,Super,,,3,5-35
Four Island,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,5-35
Four Island,#FF00BF,Sevii Islands,Lotad,270,Morning,Day,Night,Surfing,Super,,,6,5-35
Four Island,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,5-35
Four Island,#FF00BF,Sevii Islands,Marill,183,Morning,Day,Night,Surfing,Super,,,5,5-35
Four Island,#FF00BF,Sevii Islands,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,5-35
Four Island,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,[[Poison Barb]],1,5-35
Four Island,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,Super,,[[Poison Barb]],4,5-35
Four Island,#FF00BF,Sevii Islands,Wingull,278,Morning,Day,Night,Surfing,,,,5,5-35
Four Island,#FF00BF,Sevii Islands,Wooper,194,Morning,Day,Night,Surfing,,,,1,5-35
Fuchsia City,,Kanto,Psyduck,54,Morning,Day,Night,Fishing,Old,,,1,10-15
Fuchsia City,,Kanto,Slowpoke,79,Morning,Day,Night,Fishing,Old,,,2,10-15
Fuchsia City,,Kanto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,10-15
Fuchsia City,,Kanto,Poliwag,60,Morning,,Night,Fishing,Good,,,1,10-15
Fuchsia City,,Kanto,Krabby,98,Morning,Day,Night,Fishing,Good,,,1,10-15
Fuchsia City,,Kanto,Horsea,116,Morning,Day,,Fishing,Super,,,2,15-20
Fuchsia City,,Kanto,Goldeen,118,Morning,Day,Night,Fishing,Super,,,1,10-15
Fuchsia City,,Kanto,Gyarados,130,Morning,Day,Night,Fishing,Super,,,3,20
Fuchsia City,,Kanto,Politoed,186,Morning,Day,Night,Fishing,Super,#FF00BF,[[King's Rock]],7,20
Fuego Ironworks,,Sinnoh,Wingull,278,Morning,Day,Night,Surfing,,,,1,20-32
Fuego Ironworks,,Sinnoh,Pelipper,279,Morning,Day,Night,Surfing,,,,4,20-32
Fuego Ironworks,,Sinnoh,Shellos,422,Morning,Day,Night,Surfing,,,,7,20-32
Fuego Ironworks,,Sinnoh,Gastrodon,423,Morning,Day,Night,Surfing,,,,8,20-32
Fuego Ironworks,,Sinnoh,Tentacruel,73,Morning,Day,Night,Surfing,Old,,,4,20-32
Fuego Ironworks,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,20-32
Fuego Ironworks,,Sinnoh,Shellder,90,Morning,Day,Night,Surfing,Super,,,6,20-32
Fuego Ironworks,,Sinnoh,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,20-32
Fuego Ironworks,,Sinnoh,Finneon,456,Morning,Day,Night,Surfing,Super,,,5,20-32
Ghoul Swamp,,Phantasm Land,Bibarel,400,Morning,Day,Night,Surfing,,,,4,25-30
Ghoul Swamp,,Phantasm Land,Bidoof,399,Morning,Day,Night,Surfing,,,,3,19-24
Ghoul Swamp,,Phantasm Land,Golbat,42,Morning,,Night,Surfing,,,,2,25-32
Ghoul Swamp,,Phantasm Land,Goomy,704,Morning,Day,,Surfing,,,,9,15-20
Ghoul Swamp,,Phantasm Land,Lombre,271,Morning,,Night,Surfing,,,,7,30-35
Ghoul Swamp,,Phantasm Land,Lotad,270,Morning,,Night,Surfing,,,,7,25-30
Ghoul Swamp,,Phantasm Land,Quagsire,195,Morning,Day,Night,Surfing,,,,4,25-30
Ghoul Swamp,,Phantasm Land,Shellos,422,Morning,,,Surfing,,,,9,22-29
Ghoul Swamp,,Phantasm Land,Sliggoo,705,Morning,Day,,Surfing,,,,9,19-24
Ghoul Swamp,,Phantasm Land,Wooper,194,Morning,Day,Night,Surfing,,,,1,19-24
Ghoul Swamp,,Phantasm Land,Zubat,41,Morning,,Night,Surfing,,,,1,20-27
Green Path,#FF00BF,Sevii Islands,Psyduck,54,,,Night,Surfing,Old,,,1,12-27
Green Path,#FF00BF,Sevii Islands,Qwilfish,211,Morning,,Night,Fishing,Super,,[[Poison Barb]],5,12-27
Green Path,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Old,,[[Dragon Scale]],2,12-20
Green Path,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,12-27
Green Path,#FF00BF,Sevii Islands,Lapras,131,Morning,Day,Night,Surfing,Super,,[[Mystic Water]],8,15-30
Green Path,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Surfing,Fishing,Old,,2,12-20
Green Path,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Old,,,2,12-27
Green Path,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,Super,,[[Poison Barb]],2,35-50
High Tide Entrance Room,,Hoenn,Piplup,393,Morning,Day,,Surfing,,,,8,30-38
High Tide Entrance Room,,Hoenn,Noibat,714,,,Night,Surfing,,,,8,30-38
High Tide Entrance Room,,Hoenn,Golbat,42,Morning,Day,Night,Surfing,,,,4,30-38
High Tide Entrance Room,,Hoenn,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,30-38
High Tide Entrance Room,,Hoenn,Tentacruel,73,Morning,Day,Night,Surfing,,,,3,30-38
High Tide Entrance Room,,Hoenn,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,30-38
High Tide Entrance Room,,Hoenn,Wailmer,320,Morning,Day,Night,Fishing,Super,,,8,30-38
Hoenn Safari Zone Area 1,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,28-32
Hoenn Safari Zone Area 1,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,28-32
