area,membersAccessible,region,pokemon,pokedexNumber,morning,day,night,membership,heldItem,tier,levels
Bug Catching Area,,Johto,Dwebble,557,Morning,Day,Night,,,9,15-19
Bug Catching Area,,Johto,Joltik,595,Morning,Day,Night,,,9,15-19
Bug Catching Area,,Johto,Shelmet,616,Morning,Day,Night,,,9,15-19
Bug Catching Area,,Johto,Larvesta,636,Morning,Day,Night,,,8,15-19
Burned Tower Floor 2,,Johto,Rattata,19,Morning,Day,Night,,,1,13-17
Burned Tower Floor 2,,Johto,Raticate,20,Morning,Day,Night,,,2,13-17
Burned Tower Floor 2,,Johto,Zubat,41,Morning,Day,Night,,,1,13-17
Burned Tower Floor 2,,Johto,Koffing,109,Morning,Day,Night,,[[Smoke Ball]],2,13-17
Burned Tower Floor 2,,Johto,Zigzagoon,263,Morning,Day,Night,,[[Oran Berry]],5,13-17
Burned Tower Floor 2,,Johto,Meditite,307,Morning,Day,Night,#FF00BF,[[Twisted Spoon]],9,18-22
Burned Tower Floor 2,,Johto,Chatot,441,Morning,Day,,,,9,13-17
Burned Tower Floor 2,,Johto,Litwick,607,Morning,Day,Night,#FF00BF,[[Smoke Ball]],8,13-17
Burned Tower Top Floor,,Johto,Rattata,19,Morning,Day,Night,,,1,14-18
Burned Tower Top Floor,,Johto,Raticate,20,Morning,Day,Night,,,2,14-18
Burned Tower Top Floor,,Johto,Zubat,41,Morning,Day,Night,,,1,14-18
Burned Tower Top Floor,,Johto,Koffing,109,Morning,Day,Night,,[[Smoke Ball]],2,14-18
Burned Tower Top Floor,,Johto,Magmar,126,,Day,,#FF00BF,[[Magmarizer]],9,14-18
Burned Tower Top Floor,,Johto,Zigzagoon,263,Morning,Day,Night,,[[Oran Berry]],5,14-18
Burned Tower Top Floor,,Johto,Chatot,441,Morning,Day,,,,9,14-18
Canyon Entrance,#FF00BF,Sevii Islands,Phanpy,231,Morning,,,,,5,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Psyduck,54,Morning,,,,,1,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Fearow,22,,Day,,,[[Sharp Beak]],3,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Meowth,52,,,Night,,,1,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Persian,53,,,Night,,,3,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Sentret,161,Morning,Day,,,,1,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Spearow,21,Morning,,Night,,[[Sharp Beak]],1,12-42
Canyon Entrance,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,,[[Lagging Tail]],2,12-42
Cape Brink,#FF00BF,Sevii Islands,Bellsprout,69,Morning,,,,,1,30-37
Cape Brink,#FF00BF,Sevii Islands,Spearow,21,Morning,,,,,1,30-37
Cape Brink,#FF00BF,Sevii Islands,Gloom,44,,,Night,,[[Sun Stone]],2,30-37
Cape Brink,#FF00BF,Sevii Islands,Meowth,52,Morning,,Night,,[[Lagging Tail]],1,30-37
Cape Brink,#FF00BF,Sevii Islands,Persian,53,Morning,,Night,,[[Quick Claw]],2,30-37
Cape Brink,#FF00BF,Sevii Islands,Fearow,22,Morning,Day,Night,,[[Sharp Beak]],3,30-37
Cape Brink,#FF00BF,Sevii Islands,Oddish,43,Morning,Day,Night,,[[Absorb Bulb]],1,30-37
Cerulean Cave 1F,,Kanto,Arbok,24,Morning,Day,Night,,[[Poison Barb]],1,60-64
Cerulean Cave 1F,,Kanto,Raichu,26,Morning,Day,Night,,,5,60-64
Cerulean Cave 1F,,Kanto,Sandslash,28,Morning,,,,[[Soft Sand]],1,60-64
Cerulean Cave 1F,,Kanto,Golbat,42,Morning,Day,Night,,[[Soothe Bell]],1,60-64
Cerulean Cave 1F,,Kanto,Parasect,47,Morning,Day,Night,,,2,60-64
Cerulean Cave 1F,,Kanto,Venomoth,49,Morning,,Night,,[[Silver Powder]],2,60-64
Cerulean Cave 1F,,Kanto,Primeape,57,Morning,Day,Night,,[[Black Belt]],2,60-64
Cerulean Cave 1F,,Kanto,Kadabra,64,Morning,Day,Night,,[[Twisted Spoon]],6,42-45
Cerulean Cave 1F,,Kanto,Machoke,67,Morning,,,,[[Black Belt]],2,60-64
Cerulean Cave 1F,,Kanto,Graveler,75,Morning,Day,Night,,[[Everstone]],1,60-64
Cerulean Cave 1F,,Kanto,Electrode,101,,Day,,,,2,60-64
Cerulean Cave 1F,,Kanto,Marowak,105,Morning,Day,Night,,[[Thick Club]],8,60-64
Cerulean Cave 1F,,Kanto,Lickitung,108,Morning,Day,Night,,[[Lagging Tail]],5,60-64
Cerulean Cave 1F,,Kanto,Rhyhorn,111,Morning,Day,Night,,,4,60-64
Cerulean Cave 1F,,Kanto,Rhydon,112,Morning,Day,,,[[Protector]],5,60-64
Cerulean Cave 1F,,Kanto,Ditto,132,Morning,Day,Night,,,6,60-64
Cerulean Cave 1F,,Kanto,Wobbuffet,202,Morning,Day,Night,,,8,60-64
Cerulean Cave 1F,,Kanto,Yamask,562,Morning,Day,Night,,[[Spell Tag]],8,60-64
Cerulean Cave 2F,,Kanto,Arbok,24,Morning,Day,Night,,[[Poison Barb]],1,58-62
Cerulean Cave 2F,,Kanto,Sandslash,28,Morning,,,,[[Soft Sand]],1,58-62
Cerulean Cave 2F,,Kanto,Wigglytuff,40,Morning,Day,Night,,,4,60-62
Cerulean Cave 2F,,Kanto,Golbat,42,Morning,Day,Night,,,1,58-62
Cerulean Cave 2F,,Kanto,Parasect,47,Morning,Day,Night,,,2,58-62
Cerulean Cave 2F,,Kanto,Venomoth,49,Morning,,Night,,[[Silver Powder]],2,60-62
Cerulean Cave 2F,,Kanto,Primeape,57,Morning,Day,Night,,[[Black Belt]],2,52-55
Cerulean Cave 2F,,Kanto,Kadabra,64,Morning,Day,Night,,[[Twisted Spoon]],7,42-45
Cerulean Cave 2F,,Kanto,Machoke,67,Morning,,,,[[Black Belt]],2,58-62
Cerulean Cave 2F,,Kanto,Graveler,75,Morning,Day,Night,,[[Everstone]],1,59-62
Cerulean Cave 2F,,Kanto,Magneton,82,Morning,Day,Night,,[[Magnet]],2,60-62
Cerulean Cave 2F,,Kanto,Electrode,101,,Day,,,,2,58-62
Cerulean Cave 2F,,Kanto,Lickitung,108,Morning,Day,Night,,[[Lagging Tail]],5,60-62
Cerulean Cave 2F,,Kanto,Rhyhorn,111,Morning,Day,Night,,,4,58-61
Cerulean Cave 2F,,Kanto,Rhydon,112,Morning,Day,,,[[Protector]],5,60-62
Cerulean Cave 2F,,Kanto,Chansey,113,Morning,Day,Night,,[[Lucky Punch]],8,55-62
Cerulean Cave 2F,,Kanto,Ditto,132,Morning,Day,Night,,,6,58-62
Cerulean Cave B1F,,Kanto,Sandslash,28,Morning,,,,[[Soft Sand]],1,59-63
Cerulean Cave B1F,,Kanto,Golbat,42,Morning,Day,Night,,,1,59-63
Cerulean Cave B1F,,Kanto,Parasect,47,Morning,Day,Night,,,2,59-63
Cerulean Cave B1F,,Kanto,Venomoth,49,Morning,Day,Night,,[[Silver Powder]],2,59-63
Cerulean Cave B1F,,Kanto,Kadabra,64,Morning,Day,Night,,[[Twisted Spoon]],7,42-45
Cerulean Cave B1F,,Kanto,Machoke,67,Morning,,,,[[Black Belt]],2,59-63
Cerulean Cave B1F,,Kanto,Graveler,75,Morning,Day,Night,,[[Everstone]],1,59-63
Cerulean Cave B1F,,Kanto,Magneton,82,Morning,Day,Night,,[[Magnet]],2,58-62
Cerulean Cave B1F,,Kanto,Electrode,101,,Day,,,,2,60-62
Cerulean Cave B1F,,Kanto,Marowak,105,Morning,Day,Night,,[[Thick Club]],8,60-62
Cerulean Cave B1F,,Kanto,Rhyhorn,111,Morning,Day,Night,,,4,58-61
Cerulean Cave B1F,,Kanto,Rhydon,112,Morning,Day,,,[[Protector]],5,60-63
Cerulean Cave B1F,,Kanto,Ditto,132,Morning,Day,Night,,,6,39-59
Cerulean Cave B1F,,Kanto,Wobbuffet,202,Morning,Day,Night,,,8,60
Cerulean Cave B1F,,Kanto,Bronzor,436,Morning,Day,Night,,[[Metal Coat]],4,60-62
Cerulean Cave B1F,,Kanto,Skorupi,451,Morning,Day,Night,,,9,40-42
Cinnabar Mansion 1,,Kanto,Rattata,19,Morning,Day,Night,,,1,33-35
Cinnabar Mansion 1,,Kanto,Raticate,20,Morning,Day,Night,,,2,33-35
Cinnabar Mansion 1,,Kanto,Vulpix,37,Morning,Day,Night,,[[Charcoal]],4,33-35
Cinnabar Mansion 1,,Kanto,Growlithe,58,Morning,Day,Night,,[[Rawst Berry]],4,33-35
Cinnabar Mansion 1,,Kanto,Ponyta,77,,Day,,,,4,33-35
Cinnabar Mansion 1,,Kanto,Grimer,88,Morning,Day,Night,,[[Black Sludge]],1,33-35
Cinnabar Mansion 1,,Kanto,Muk,89,Morning,Day,Night,,[[Black Sludge]],3,33-35
Cinnabar Mansion 1,,Kanto,Koffing,109,Morning,Day,Night,,[[Smoke Ball]],3,33-35
Cinnabar Mansion 1,,Kanto,Weezing,110,Morning,Day,Night,,[[Smoke Ball]],5,33-35
Cinnabar Mansion 2,,Kanto,Rattata,19,Morning,Day,Night,,,1,33-35
Cinnabar Mansion 2,,Kanto,Raticate,20,Morning,Day,Night,,,2,33-35
Cinnabar Mansion 2,,Kanto,Vulpix,37,Morning,Day,Night,,[[Heat Rock]],4,33-35
Cinnabar Mansion 2,,Kanto,Growlithe,58,Morning,Day,Night,,[[Rawst Berry]],4,33-35
Cinnabar Mansion 2,,Kanto,Ponyta,77,,Day,,,,4,33-35
Cinnabar Mansion 2,,Kanto,Grimer,88,Morning,Day,Night,,[[Black Sludge]],1,33-35
Cinnabar Mansion 2,,Kanto,Muk,89,Morning,Day,Night,,[[Black Sludge]],3,33-35
Cinnabar Mansion 2,,Kanto,Koffing,109,Morning,Day,Night,,[[Smoke Ball]],3,33-35
Cinnabar Mansion 2,,Kanto,Weezing,110,Morning,Day,Night,,[[Smoke Ball]],5,33-35
Cinnabar Mansion 3,,Kanto,Charmander,4,Morning,Day,Night,,,8,15-19
Cinnabar Mansion 3,,Kanto,Rattata,19,Morning,Day,Night,,,1,33-35
Cinnabar Mansion 3,,Kanto,Raticate,20,Morning,Day,Night,,,2,33-35
Cinnabar Mansion 3,,Kanto,Vulpix,37,Morning,Day,Night,,[[Rawst Berry]],4,33-35
Cinnabar Mansion 3,,Kanto,Growlithe,58,Morning,Day,Night,,[[Rawst Berry]],4,33-35
Cinnabar Mansion 3,,Kanto,Ponyta,77,,Day,,,,6,33-35
Cinnabar Mansion 3,,Kanto,Grimer,88,Morning,Day,Night,,[[Black Sludge]],1,33-35
Cinnabar Mansion 3,,Kanto,Muk,89,Morning,Day,Night,,[[Black Sludge]],3,33-35
Cinnabar Mansion 3,,Kanto,Koffing,109,Morning,Day,Night,,[[Smoke Ball]],3,33-35
Cinnabar Mansion 3,,Kanto,Weezing,110,Morning,Day,Night,,[[Smoke Ball]],5,33-35
Cinnabar Mansion 3,,Kanto,Magmar,126,,Day,,,[[Magmarizer]],9,33-35
Cinnabar Mansion B1F,,Kanto,Rattata,19,Morning,Day,Night,,,1,33-35
Cinnabar Mansion B1F,,Kanto,Raticate,20,Morning,Day,Night,,,2,33-35
Cinnabar Mansion B1F,,Kanto,Vulpix,37,Morning,Day,Night,,[[Charcoal]],4,33-35
Cinnabar Mansion B1F,,Kanto,Growlithe,58,Morning,Day,Night,,[[Rawst Berry]],4,33-35
Cinnabar Mansion B1F,,Kanto,Grimer,88,Morning,Day,Night,,,1,33-35
Cinnabar Mansion B1F,,Kanto,Muk,89,Morning,Day,Night,,[[Black Sludge]],3,33-35
Cinnabar Mansion B1F,,Kanto,Koffing,109,Morning,Day,Night,,,3,33-35
Cinnabar Mansion B1F,,Kanto,Weezing,110,Morning,Day,Night,,,5,33-35
Cinnabar Mansion B1F,,Kanto,Magmar,126,Morning,,Night,,[[Magmarizer]],9,33-35
Cinnabar Mansion B1F,,Kanto,Ditto,132,Morning,Day,,,,6,33-35
Cliff Cave B1F,,Johto,Golbat,42,Morning,Day,Night,,,1,22-26
Cliff Cave B1F,,Johto,Machop,66,,Day,,,,2,22-26
Cliff Cave B1F,,Johto,Machoke,67,,Day,,,[[Black Belt]],4,23-27
Cliff Cave B1F,,Johto,Geodude,74,Morning,Day,Night,,,1,22-26
Cliff Cave B1F,,Johto,Graveler,75,Morning,Day,Night,,[[Hard Stone]],3,22-26
Cliff Cave B1F,,Johto,Krabby,98,Morning,Day,Night,,,2,22-26
Cliff Cave B1F,,Johto,Kingler,99,Morning,Day,Night,,,4,28-32
Cliff Cave B1F,,Johto,Wooper,194,Morning,,Night,,,1,22-26
Cliff Cave B1F,,Johto,Quagsire,195,Morning,,Night,,,4,28-32
Cliff Cave B1F,,Johto,Misdreavus,200,Morning,Day,Night,,[[Spell Tag]],5,22-26
Cliff Cave B1F,,Johto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],5,22-26
Cliff Cave B1F,,Johto,Duskull,355,Morning,Day,Night,,[[Reaper Cloth]],6,22-26
Cliff Cave 1F,,Johto,Golbat,42,Morning,Day,Night,,,1,22-26
Cliff Cave 1F,,Johto,Machop,66,,Day,,,,1,22-26
Cliff Cave 1F,,Johto,Machoke,67,,Day,,,[[Black Belt]],4,23-27
Cliff Cave 1F,,Johto,Geodude,74,Morning,Day,Night,,,1,22-26
Cliff Cave 1F,,Johto,Graveler,75,Morning,Day,Night,,[[Hard Stone]],2,22-26
Cliff Cave 1F,,Johto,Krabby,98,Morning,Day,Night,,,1,22-26
Cliff Cave 1F,,Johto,Kingler,99,Morning,Day,Night,,,4,28-32
Cliff Cave 1F,,Johto,Wooper,194,Morning,,Night,,,2,22-26
Cliff Cave 1F,,Johto,Quagsire,195,Morning,,Night,,,5,28-32
Cliff Cave 1F,,Johto,Misdreavus,200,Morning,Day,Night,,[[Spell Tag]],6,22-26
Cliff Cave 1F,,Johto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],4,22-26
Cliff Cave 2F,,Johto,Golbat,42,Morning,Day,Night,,,1,22-26
Cliff Cave 2F,,Johto,Machop,66,,Day,,,,2,22-26
Cliff Cave 2F,,Johto,Machoke,67,,Day,,,[[Black Belt]],4,23-27
Cliff Cave 2F,,Johto,Geodude,74,Morning,Day,Night,,,1,22-26
Cliff Cave 2F,,Johto,Graveler,75,Morning,Day,Night,,[[Hard Stone]],2,22-26
Cliff Cave 2F,,Johto,Krabby,98,Morning,Day,Night,,,2,22-26
Cliff Cave 2F,,Johto,Kingler,99,Morning,Day,Night,,,4,28-32
Cliff Cave 2F,,Johto,Wooper,194,Morning,,Night,,,1,22-26
Cliff Cave 2F,,Johto,Quagsire,195,Morning,,Night,,,4,28-32
Cliff Cave 2F,,Johto,Misdreavus,200,Morning,Day,Night,,[[Spell Tag]],5,22-26
Cliff Cave 2F,,Johto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],4,22-26
Cliff Edge Gate,,Johto,Poliwag,60,Morning,Day,Night,,,3,28-32
Cliff Edge Gate,,Johto,Wooper,194,Morning,Day,Night,,,1,28-32
Cliff Edge Gate,,Johto,Quagsire,195,Morning,Day,Night,,,4,28-32
Dark Cave North,,Johto,Bronzor,436,Morning,Day,Night,,[[Metal Coat]],5,25-29
Dark Cave North,,Johto,Chingling,433,Morning,Day,Night,,,6,25-29
Dark Cave North,,Johto,Geodude,74,Morning,Day,Night,,[[Hard Stone]],1,25-29
Dark Cave North,,Johto,Golbat,42,Morning,Day,Night,,,2,25-29
Dark Cave North,,Johto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],3,25-29
Dark Cave North,,Johto,Wobbuffet,202,Morning,Day,Night,,,8,25-29
Dark Cave North,,Johto,Zubat,41,Morning,Day,Night,,,1,25-29
Dark Cave South,,Johto,Chingling,433,Morning,Day,Night,,,6,3-7
Dark Cave South,,Johto,Dunsparce,206,Morning,Day,Night,,,4,3-7
Dark Cave South,,Johto,Geodude,74,Morning,Day,Night,,[[Hard Stone]],1,3-7
Dark Cave South,,Johto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],5,3-7
Dark Cave South,,Johto,Sandile,551,Morning,Day,Night,,[[Black Glasses]],9,8-13
Dark Cave South,,Johto,Zubat,41,Morning,Day,Night,,,1,3-7
Desert Cave,#FF00BF,Johto,Sandshrew,27,Morning,Day,Night,,[[Quick Claw]],2,10-14
Desert Cave,#FF00BF,Johto,Zubat,41,Morning,Day,Night,,,1,10-14
Desert Lagoon,#FF00BF,Johto,Phanpy,231,Morning,,,,[[Leppa Berry]],4,12-18
Desert Lagoon,#FF00BF,Johto,Hippopotas,231,Morning,Day,Night,,,8,18-24
Desert Lagoon,#FF00BF,Johto,Murkrow,198,,,Night,,[[Razor Fang]],8,12-18
Desert Lagoon,#FF00BF,Johto,Doduo,84,Morning,Day,,,[[Sharp Beak]],1,12-18
Desert Lagoon,#FF00BF,Johto,Ekans,23,Morning,Day,,,,1,12-18
Desert Lagoon,#FF00BF,Johto,Cubone,104,Morning,Day,Night,,[[Thick Club]],8,12-18
Desert Lagoon,#FF00BF,Johto,Dunsparce,206,Morning,Day,Night,,,3,12-18
Desert Lagoon,#FF00BF,Johto,Sandshrew,27,Morning,Day,Night,,[[Quick Claw]],1,12-18
Desert Lagoon,#FF00BF,Johto,Sandslash,28,Morning,Day,Night,,[[Soft Sand]],2,12-18
Diamond Domain B1F,,Kanto,Geodude,74,Morning,Day,Night,,[[Hard Stone]],1,21-25
Diamond Domain B1F,,Kanto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],4,21-25
Diamond Domain B1F,,Kanto,Psyduck,54,Morning,Day,Night,,,1,21-25
Diamond Domain B1F,,Kanto,Sableye,302,Morning,Day,Night,,[[Scope Lens]],9,21-25
Diamond Domain B1F,,Kanto,Woobat,527,Morning,Day,Night,,,9,21-25
Diamond Domain 1F,,Kanto,Geodude,74,Morning,Day,Night,,[[Hard Stone]],1,21-25
Diamond Domain 1F,,Kanto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],4,21-25
Diamond Domain 1F,,Kanto,Mawile,303,Morning,Day,Night,#FF00BF,,9,21-25
Diamond Domain 1F,,Kanto,Psyduck,54,Morning,Day,Night,,,1,21-25
Diamond Domain 1F,,Kanto,Woobat,527,Morning,Day,Night,,,9,21-25
Diamond Domain Main Cave,,Kanto,Carbink,703,Morning,Day,Night,,,9,21-25
Diamond Domain Main Cave,,Kanto,Geodude,74,Morning,Day,Night,,[[Hard Stone]],1,21-25
Diamond Domain Main Cave,,Kanto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],5,21-25
Diamond Domain Main Cave,,Kanto,Psyduck,54,Morning,Day,Night,,,1,21-25
Diamond Domain Main Cave,,Kanto,Vanillite,582,Morning,Day,Night,,,9,21-25
Diglett's Cave,,Kanto,Sandshrew,27,Morning,Day,Night,,,2,20-22
Diglett's Cave,,Kanto,Diglett,50,Morning,Day,Night,,[[Soft Sand]],1,20-22
Diglett's Cave,,Kanto,Dugtrio,51,Morning,Day,Night,,[[Soft Sand]],5,25-27
Diglett's Cave Entrance 1,,Kanto,Diglett,50,Morning,Day,Night,,[[Soft Sand]],1,18-23
Diglett's Cave Entrance 1,,Kanto,Dugtrio,51,Morning,Day,Night,,[[Soft Sand]],4,25-30
Diglett's Cave Entrance 2,,Kanto,Zubat,41,Morning,Day,Night,,,2,20-22
Diglett's Cave Entrance 2,,Kanto,Diglett,50,Morning,Day,Night,,[[Soft Sand]],1,18-23
Diglett's Cave Entrance 2,,Kanto,Dugtrio,51,Morning,Day,Night,,[[Soft Sand]],4,25-30
Dragons Den B1F,,Johto,Raticate,20,Morning,Day,Night,,,3,40-55
